State,Crop,Cost of Production (Rs./Qtl),Implicit Rate (Rs./Qtl.),Derived Yield (Qtl./Hectare),Year,Expected Profit (Rs)
Andhra Pradesh,Paddy,1189.17,1752.22,57.08978,2021-22,32144.400628999996
Assam,Paddy,1104,1241.17,36.84469,2021-23,5053.986127300006
Bihar,Paddy,1037,1376.68,28.57745,2021-24,9707.188215999999
Chhattisgarh,Paddy,914.4,1743.83,41.86017,2021-25,34720.0808031
Gujarat,Paddy,1164.98,1708.22,36.99977,2021-26,20099.7550548
Haryana,Paddy,1113.39,2344.43,52.8655,2021-27,65079.54511999998
Himachal Pradesh,Paddy,1092.6,1910.05,30.92268,2021-28,25277.744766000003
Jharkhand ,Paddy,1265.51,1377.48,27.35363,2021-29,3062.785951100006
Karnataka,Paddy,1379.84,1740.3,48.00345,2021-30,17303.323587000006
Kerala ,Paddy,1976.75,2821.87,36.22949,2021-31,30618.26658879999
Madhya Pradesh,Paddy,936.67,1835.47,44.87364,2021-32,40332.42763200001
Maharastra,Paddy,3295.11,1946.92,20.54545,2021-33,-27699.170235499994
Odisha,Paddy,1292.02,1422.04,40.47758,2021-34,5262.894951599999
Punjab,Paddy,840.55,2023.37,69.7979,2021-35,82558.35207799998
Tamil Nadu,Paddy,1394.04,1842.49,45.2496,2021-36,20292.18312000001
Telangana,Paddy,1380.6,1968.91,54.56409,2021-37,32100.59978790002
Uttar Pradesh,Paddy,1451.88,1649.35,36.14786,2021-38,7138.117914199989
West Bengal,Paddy,1451.88,1649.35,36.14786,2021-39,7138.117914199989
Andhra Pradesh,Maize,883.79,1876.63,71.89743,2021-22,71382.64440120001
Bihar,Maize,888.3,1762.19,46.07292,2021-23,40262.664058800015
Gujarat,Maize,1774.36,2001.79,22.4816,2021-24,5112.990288000001
Himachal Pradesh,Maize,1453.94,1721.6,19.31897,2021-25,5170.9155102
Jharkhand,Maize,951.99,1500.16,41.40633,2021-26,22697.7079161
Karnataka,Maize,1230.73,1719.38,35.46099,2021-27,17328.012763500003
Madhya Pradesh,Maize,981.2,1346.81,31.13598,2021-28,11383.625647799996
Maharastra,Maize,948.55,1892.32,56.99566,2021-29,53790.794038199994
Odisha,Maize,1776.2,1417.43,27.29636,2021-30,-9793.115077200004
Punjab,Maize,1502.83,1706.71,37.50519,2021-31,7646.5581372000015
Rajasthan,Maize,1715.42,1669.85,22.60861,2021-32,-1030.2743577
Tamil Nadu,Maize,1440.17,1969.83,42.13506,2021-33,22317.2558796
Telangana,Maize,1232.6,2046.09,53.96701,2021-34,43901.6229649
Uttar Pradesh,Maize,1260.35,1553.5,27.08331,2021-35,7939.472326499999
Andhra Pradesh,Jowar,1356.81,2229.38,47.26975,2021-22,41246.165757500006
Karnataka,Jowar,2354.94,2602.27,11.07983,2021-23,2740.374353899999
Madhya Pradesh,Jowar,1104.96,1820.32,19.55245,2021-24,13987.040632
Maharastra,Jowar,2669.2,2032.04,10.75964,2021-25,-6855.6122223999955
Rajasthan,Jowar,1916.81,1773.64,11.29267,2021-26,-1616.771563899998
Tamil Nadu,Jowar,3267.22,2854.8,11.71714,2021-27,-4832.3828787999955
Gujarat,Bajra,1305.32,2117.51,27.73226,2021-22,22523.86424940001
Haryana,Bajra,1904.08,2029.86,14.3364,2021-23,1803.2323920000017
Maharastra,Bajra,1985.09,2096.02,26.33897,2021-24,2921.781942100002
Rajasthan,Bajra,1626.53,1517.49,10.86248,2021-25,-1184.4448191999982
Uttar Pradesh,Bajra,1262.93,1542.81,18.91195,2021-26,5293.076566
Karnataka,Ragi,3409.43,2725.26,13.42055,2021-22,-9181.93769349999
Odisha, Ragi,3920.16,3152.07,8.69762,2021-23,-6680.554945799995
Bihar,Wheat,1084.02,1872.78,29.27714,2021-22,23092.636946399998
Chhattisgarh,Wheat,1208.45,1967.66,25.3356,2021-23,19235.040876
Gujarat,Wheat,1076.96,2231.88,32.53711,2021-24,37577.759081200005
Haryana,Wheat,758.09,2022.74,44.22088,2021-25,55923.935891999994
Himachal Pradesh,Wheat,1294.24,2101.15,21.53853,2021-26,17379.655242300007
Jharkhand ,Wheat,1233.71,1796.7,26.0888,2021-27,14687.733511999995
Karnataka,Wheat,2664.73,2552.23,10.87193,2021-28,-1223.0921250000029
Madhya Pradesh,Wheat,743.78,1789.48,40.75232,2021-29,42614.701023999995
Maharastra,Wheat,2002.54,2472.24,26.32965,2021-30,12367.036604999994
Punjab,Wheat,812.29,2145.03,42.44838,2021-31,56572.653961200005
Rajasthan,Wheat,1125.86,2190.11,41.63738,2021-32,44312.58166500002
Uttar Pradesh,Wheat,1046.87,1971.83,36.52958,2021-33,33788.40031680001
West Bengal,Wheat,2254.7,1875.73,21.00141,2021-34,-7958.904347699994
Himachal Pradesh,Barley,3102.98,1876.23,10.5278,2021-22,-12914.978650000001
Rajasthan,Barley,1165.7,2696.55,37.51451,2021-23,57429.0876335
Uttar Pradesh,Barley,1089.11,2344.9,30.89436,2021-24,38796.82834440001
Andhra Pradesh,Arhar,4409.64,6850.43,6.37222,2021-22,15553.250853800004
Gujarat,Arhar,3813.42,6073.61,9.5236,2021-23,21525.145484
Karnataka,Arhar,4552.8,5860.05,6.67161,2021-24,8721.462172499996
Madhya Pradesh,Arhar,2699.39,6024.07,7.85603,2021-25,26118.7858204
Maharastra,Arhar,3661.87,5905.71,19.91302,2021-26,44681.630796800004
Odisha,Arhar,3919.04,6120.61,4.08948,2021-27,9003.2764836
Telangana,Arhar,5083.58,5610.8,7.00904,2021-28,3695.306068800004
Uttar Pradesh,Arhar,3705.39,6887.23,9.32279,2021-29,29663.626133599995
Andhra Pradesh,Moong,4525.17,6090.84,7.01389,2021-22,10981.437156300002
Gujarat,Moong,4546.4,5986.63,6.61353,2021-23,9525.004311900007
Karnataka,Moong,5933.66,6202.07,4.60192,2021-24,1235.2013471999999
Maharastra,Moong,5226.14,6048.46,8.08668,2021-25,6649.8386975999965
Odisha,Moong,4052.98,7141.06,4.06575,2021-26,12555.361260000005
Punjab,Moong,1744.24,7137.27,17.13062,2021-27,92385.94757860001
Rajasthan,Moong,5141.32,6497.63,4.38517,2021-28,5947.649922700002
Tamil Nadu,Moong,5258.24,6486.28,4.2105,2021-29,5170.662420000001
Telangana,Moong,8907.14,6315.88,3.61127,2021-30,-9357.739500199998
Uttar Pradesh,Moong,9132.14,6051.46,2.97971,2021-31,-9179.533002799995
West Bengal,Moong,3329.82,5761.78,5.12193,2021-32,12456.3288828
Andhra Pradesh,Urad,3038.74,6596.61,10.88525,2021-22,38728.30441749999
Gujarat,Urad,6444.95,5418.7,4.14,2021-23,-4248.674999999999
Himachal Pradesh,Urad,8802.07,10038.17,3.19747,2021-24,3952.3926670000037
Karnataka,Urad,4882.39,6629.26,5.38933,2021-25,9414.458897099998
Madhya Pradesh,Urad,3783.04,4672.95,5.83535,2021-26,5192.936318499997
Maharastra,Urad,4764.76,6254.59,8.061,2021-27,12009.519630000003
Odisha,Urad,4832.36,7309.58,3.49862,2021-28,8666.8514364
